Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12926063,"Skagboys (Mark Renton, #1)",Irvine Welsh,"Welsh, Irvine",,"=""0224087916""","=""9780224087919""",0,4.07,Jonathan Cape,Paperback,548,2012,2012,,2024/12/26,to-read,to-read (#700),to-read,,,,0,0
497199,Factotum,Charles Bukowski,"Bukowski, Charles",,"=""0876852630""","=""9780876852637""",0,3.92,Ecco,Paperback,205,2002,1975,,2024/12/26,to-read,to-read (#698),to-read,,,,0,0
46945,Requiem for a Dream,Hubert Selby Jr.,"Jr., Hubert Selby","Darren Aronofsky, Richard Price","=""1560252480""","=""9781560252481""",0,4.11,Grand Central Publishing,Paperback,279,1999,1978,,2024/12/26,to-read,to-read (#697),to-read,,,,0,0
567678,The Wasp Factory,Iain Banks,"Banks, Iain",,"=""0684853159""","=""9780684853154""",0,3.75,Simon & Schuster (NYC),Paperback,184,1998,1984,,2024/12/26,to-read,to-read (#696),to-read,,,,0,0
264158,The Raven,Edgar Allan Poe,"Poe, Edgar Allan",Gustave Doré,"=""0486290727""","=""9780486290720""",0,4.29,Dover Publications,Paperback,64,1996,1845,,2024/12/26,to-read,to-read (#695),to-read,,,,0,0
1039041,"The Book With No Name (Bourbon Kid, #1)",Anonymous,"Anonymous, Anonymous",,"=""1843172836""","=""9781843172833""",0,3.85,Michael O'Mara,Paperback,379,2008,2006,,2024/12/26,to-read,to-read (#694),to-read,,,,0,0
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""""","=""""",0,3.92,Ace,Paperback,525,1991,1961,,2024/12/26,to-read,to-read (#693),to-read,,,,0,0
472331,Watchmen,Alan             Moore,"Moore, Alan","Dave Gibbons, John    Higgins","=""0930289234""","=""9780930289232""",0,4.39,DC Comics,Paperback,416,2005,1987,,2024/12/26,to-read,to-read (#692),to-read,,,,0,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",0,4.29,Penguin,Paperback,671,2002,1866,,2024/12/26,to-read,to-read (#691),to-read,,,,0,0
50833,Valley of the Dolls,Jacqueline Susann,"Susann, Jacqueline",,"=""0739418378""","=""9780739418376""",0,3.86,Grove Press,,449,1997,1966,,2024/12/26,to-read,to-read (#690),to-read,,,,0,0
135836,"Trainspotting (Mark Renton, #2)",Irvine Welsh,"Welsh, Irvine",,"=""0099465892""","=""9780099465898""",0,4.11,Vintage,Paperback,431,1994,1993,,2024/12/26,to-read,to-read (#689),to-read,,,,0,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Greg Bear, Carlo Pagetti","=""""","=""""",0,3.89,Signet Classics,Paperback,118,2002,1895,,2024/12/26,to-read,to-read (#688),to-read,,,,0,0
11,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,,2024/12/26,to-read,to-read (#687),to-read,,,,0,0
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""0140042598""","=""9780140042597""",0,3.61,Penguin Books,Paperback,307,1976,1957,,2024/12/26,to-read,to-read (#686),to-read,,,,0,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2024/12/26,to-read,to-read (#685),to-read,,,,0,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann","Hilda Rosner, Zigmantas Ardickas","=""""","=""""",0,4.08,Bantam Books,Mass Market Paperback,152,1981,1922,,2024/12/26,to-read,to-read (#684),to-read,,,,0,0
1375,The Iliad / The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0147712556""","=""9780147712554""",0,4.07,Penguin Classics,Paperback,1556,1999,-800,,2024/12/26,to-read,to-read (#683),to-read,,,,0,0
41817486,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""0393341763""","=""9780393341768""",0,4.00,W. W. Norton & Company,Paperback,240,2019,1962,,2024/12/26,to-read,to-read (#682),to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",0,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2024/12/26,to-read,to-read (#681),to-read,,,,0,0
28676,American Psycho,Bret Easton Ellis,"Ellis, Bret Easton",,"=""0679735771""","=""9780679735779""",0,3.80,Vintage Contemporaries,Paperback,399,1991,1991,,2024/12/26,to-read,to-read (#680),to-read,,,,0,0
36236124,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393355942""","=""9780393355949""",0,4.18,W. W. Norton & Company,Paperback,224,2018,1996,,2024/12/26,to-read,to-read (#679),to-read,,,,0,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.20,New American Library,Mass Market Paperback,328,1950,1949,,2024/12/26,to-read,to-read (#678),to-read,,,,0,0
305510,Cymbeline,William Shakespeare,"Shakespeare, William","Harold Bloom, Gabriele Baldini","=""067172259X""","=""9780671722593""",0,3.60,Simon & Schuster,Mass Market Paperback,324,2003,1610,,2024/12/26,to-read,to-read (#677),to-read,,,,0,0
187518,Troilus and Cressida,William Shakespeare,"Shakespeare, William","Louis B. Wright, Virginia A. LaMar","=""0671669168""","=""9780671669164""",0,3.41,Washington Square Pr,Mass Market Paperback,343,1988,1601,,2024/12/26,to-read,to-read (#676),to-read,,,,0,0
104805,Timon of Athens,William Shakespeare,"Shakespeare, William","Thomas Middleton, John Jowett","=""0192814974""","=""9780192814975""",0,3.45,Oxford University Press,Paperback,384,2004,1605,,2024/12/26,to-read,to-read (#675),to-read,,,,0,0
104813,Pericles,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine","=""074327329X""","=""9780743273299""",0,3.45,Simon & Schuster,Paperback,247,2005,1608,,2024/12/26,to-read,to-read (#674),to-read,,,,0,0
187444,Henry VIII,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine","=""0743273303""","=""9780743273305""",0,3.49,Simon & Schuster,Mass Market Paperback,296,2007,1613,,2024/12/26,to-read,to-read (#673),to-read,,,,0,0
104778,The Merry Wives of Windsor,William Shakespeare,"Shakespeare, William",,"=""1419172662""","=""9781419172663""",0,3.55,Kessinger Publishing,Paperback,156,2004,1597,,2024/12/26,to-read,to-read (#672),to-read,,,,0,0
82346,The Two Gentlemen of Verona,William Shakespeare,"Shakespeare, William","Paul Werstine, Barbara A. Mowat","=""0671722956""","=""9780671722951""",0,3.39,Simon  Schuster,Mass Market Paperback,245,2006,1594,,2024/12/26,to-read,to-read (#671),to-read,,,,0,0
108171,Coriolanus,William Shakespeare,"Shakespeare, William","William Aldis Wright, Roma Gill, Francis Fergusson","=""019832006X""","=""9780198320067""",0,3.72,Oxford University Press,Paperback,202,2004,1608,,2024/12/26,to-read,to-read (#670),to-read,,,,0,0
82397,Richard II,William Shakespeare,"Shakespeare, William","Roma Gill, Robert          Jackson","=""0198320043""","=""9780198320043""",0,3.78,Oxford University Press,Paperback,168,2003,1595,,2024/12/26,to-read,to-read (#669),to-read,,,,0,0
